Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2024-11-13	0.0	0.0	12829.83
2024-11-14	0.0	0.0	12829.83
2024-11-15	0.2	174.0	13003.83
2024-11-19	0.0	0.0	13003.83
2024-11-20	0.0	0.0	13003.83
2024-11-21	0.0	0.0	13003.83
2024-11-22	-0.2	-226.0	12777.83
2024-11-26	0.0	0.0	12777.83
2024-11-27	-0.2	-226.0	12551.83
2024-11-28	0.2	174.0	12725.83
2024-11-29	0.2	174.0	12899.83
2024-12-03	0.0	0.0	12899.83
2024-12-04	0.0	0.0	12899.83
2024-12-05	0.0	0.0	12899.83
2024-12-06	0.0	0.0	12899.83
2024-12-10	0.0	0.0	12899.83
2024-12-11	0.0	0.0	12899.83
2024-12-12	0.2	174.0	13073.83
2024-12-13	0.2	174.0	13247.83
2024-12-17	-0.2	-226.0	13021.83
2024-12-18	-0.153	-179.33	12842.5
2024-12-19	0.2	174.0	13016.5
2024-12-20	0.2	174.0	13190.5
2024-12-27	0.0	0.0	13190.5
2025-01-02	-0.2	-226.0	12964.5
2025-01-03	0.0	0.0	12964.5
2025-01-07	0.2	174.0	13138.5
2025-01-08	0.2	174.0	13312.5
2025-01-09	0.2	174.0	13486.5
2025-01-10	0.2	174.0	13660.5
2025-01-14	0.0	0.0	13660.5
2025-01-15	0.0	0.0	13660.5
2025-01-16	0.0	0.0	13660.5
2025-01-17	0.2	174.0	13834.5
2025-01-21	0.0	0.0	13834.5
2025-01-22	0.0	0.0	13834.5
2025-01-23	0.0	0.0	13834.5
2025-01-24	0.0	0.0	13834.5
2025-01-28	0.0	0.0	13834.5
2025-01-29	0.0	0.0	13834.5
2025-01-30	0.0	0.0	13834.5
2025-01-31	0.0	0.0	13834.5
2025-02-04	0.0	0.0	13834.5
2025-02-05	0.2	174.0	14008.5
2025-02-06	0.2	174.0	14182.5
2025-02-07	0.2	174.0	14356.5
2025-02-11	0.0	0.0	14356.5
2025-02-12	0.2	174.0	14530.5
2025-02-13	-0.2	-226.0	14304.5
2025-02-14	0.0	0.0	14304.5
2025-02-18	0.0	0.0	14304.5
2025-02-19	0.2	174.0	14478.5
2025-02-20	0.2	174.0	14652.5
2025-02-21	-0.2	-226.0	14426.5
2025-02-25	-0.041	-66.83	14359.67
2025-02-26	0.2	174.0	14533.67
2025-02-27	0.2	174.0	14707.67
2025-02-28	0.2	174.0	14881.67
2025-03-04	0.0	0.0	14881.67
2025-03-05	0.2	174.0	15055.67
2025-03-06	0.2	174.0	15229.67
2025-03-07	0.2	174.0	15403.67
2025-03-11	0.093	67.33	15471.0
2025-03-12	0.2	174.0	15645.0
2025-03-13	0.2	174.0	15819.0
2025-03-14	0.2	174.0	15993.0
2025-03-18	0.0	0.0	15993.0
2025-03-19	0.0	0.0	15993.0
2025-03-20	0.0	0.0	15993.0
2025-03-21	0.0	0.0	15993.0
2025-03-25	0.0	0.0	15993.0
2025-03-26	0.0	0.0	15993.0
2025-03-27	0.0	0.0	15993.0
2025-03-28	-0.2	-226.0	15767.0
2025-04-01	0.2	174.0	15941.0
2025-04-02	0.2	174.0	16115.0
2025-04-03	0.2	174.0	16289.0
2025-04-04	0.2	174.0	16463.0
2025-04-08	0.0	0.0	16463.0
2025-04-09	0.2	174.0	16637.0
2025-04-10	-0.2	-226.0	16411.0
2025-04-11	0.0	0.0	16411.0
2025-04-15	-0.2	-226.0	16185.0
2025-04-16	0.0	0.0	16185.0
2025-04-17	0.2	174.0	16359.0
2025-04-22	0.0	0.0	16359.0
2025-04-23	0.0	0.0	16359.0
2025-04-24	0.2	174.0	16533.0
2025-04-25	-0.2	-226.0	16307.0
2025-04-29	0.0	0.0	16307.0
2025-04-30	0.0	0.0	16307.0
2025-05-02	0.0	0.0	16307.0
2025-05-06	0.0	0.0	16307.0
2025-05-07	0.111	84.83	16391.83
2025-05-08	-0.2	-226.0	16165.83
2025-05-09	0.0	0.0	16165.83
