Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2024-06-04	0.0	0.0	1194.0
2024-06-05	0.0	0.0	1194.0
2024-06-06	0.0	0.0	1194.0
2024-06-07	-0.14	-146.0	1048.0
2024-06-11	0.0	0.0	1048.0
2024-06-12	0.0	0.0	1048.0
2024-06-13	0.0	0.0	1048.0
2024-06-14	0.0	0.0	1048.0
2024-06-18	0.0	0.0	1048.0
2024-06-19	0.0	0.0	1048.0
2024-06-20	0.0	0.0	1048.0
2024-06-21	0.0	0.0	1048.0
2024-06-25	0.0	0.0	1048.0
2024-06-26	0.0	0.0	1048.0
2024-06-27	-0.12	-126.0	922.0
2024-06-28	0.0	0.0	922.0
2024-07-02	0.0	0.0	922.0
2024-07-03	0.0	0.0	922.0
2024-07-04	0.0	0.0	922.0
2024-07-05	-0.09	-96.0	826.0
2024-07-09	0.0	0.0	826.0
2024-07-10	-0.02	-26.0	800.0
2024-07-11	0.4	394.0	1194.0
2024-07-12	0.0	0.0	1194.0
2024-07-16	0.0	0.0	1194.0
2024-07-17	0.0	0.0	1194.0
2024-07-18	-0.3	-306.0	888.0
2024-07-19	0.0	0.0	888.0
2024-07-23	0.0	0.0	888.0
2024-07-24	0.0	0.0	888.0
2024-07-25	0.0	0.0	888.0
2024-07-26	0.0	0.0	888.0
2024-07-30	0.0	0.0	888.0
2024-07-31	0.24	234.0	1122.0
2024-08-01	0.0	0.0	1122.0
2024-08-02	0.0	0.0	1122.0
2024-08-06	0.0	0.0	1122.0
2024-08-07	0.0	0.0	1122.0
2024-08-08	0.0	0.0	1122.0
2024-08-09	0.0	0.0	1122.0
2024-08-13	0.25	244.0	1366.0
2024-08-14	0.0	0.0	1366.0
2024-08-15	0.0	0.0	1366.0
2024-08-16	0.0	0.0	1366.0
2024-08-20	0.0	0.0	1366.0
2024-08-21	0.0	0.0	1366.0
2024-08-22	0.0	0.0	1366.0
2024-08-23	0.0	0.0	1366.0
2024-08-27	0.0	0.0	1366.0
2024-08-28	0.06	54.0	1420.0
2024-08-29	0.11	104.0	1524.0
2024-08-30	0.0	0.0	1524.0
2024-09-03	0.0	0.0	1524.0
2024-09-04	0.0	0.0	1524.0
2024-09-05	0.0	0.0	1524.0
2024-09-06	0.0	0.0	1524.0
2024-09-10	0.0	0.0	1524.0
2024-09-11	0.0	0.0	1524.0
2024-09-12	0.0	0.0	1524.0
2024-09-13	0.0	0.0	1524.0
