pnl,dir,ix,ts,cumul,year
1.39,LONG,14917,2022-07-15 08:00:00,-0.8800000000000006,2022
1.45,SHORT,14934,2022-07-18 11:00:00,0.5699999999999994,2022
-0.52,LONG,14947,2022-07-19 10:00:00,0.04999999999999938,2022
1.32,SHORT,14979,2022-07-21 14:00:00,1.3699999999999994,2022
1.4,LONG,14981,2022-07-21 16:00:00,2.7699999999999996,2022
-1.03,SHORT,14994,2022-07-22 15:00:00,1.7399999999999995,2022
1.48,LONG,15018,2022-07-26 11:00:00,3.2199999999999998,2022
-0.85,SHORT,15021,2022-07-26 14:00:00,2.3699999999999997,2022
1.18,LONG,15049,2022-07-28 14:00:00,3.55,2022
-0.87,SHORT,15051,2022-07-28 16:00:00,2.6799999999999997,2022
1.37,SHORT,15059,2022-07-29 10:00:00,4.05,2022
1.37,LONG,15066,2022-07-29 17:00:00,5.42,2022
-0.89,SHORT,15085,2022-08-02 08:00:00,4.53,2022
1.27,SHORT,15094,2022-08-02 17:00:00,5.800000000000001,2022
1.42,SHORT,15134,2022-08-05 15:00:00,7.220000000000001,2022
1.31,LONG,15175,2022-08-10 14:00:00,8.530000000000001,2022
1.16,SHORT,15191,2022-08-11 16:00:00,9.690000000000001,2022
-0.81,LONG,15198,2022-08-12 09:00:00,8.88,2022
1.17,SHORT,15240,2022-08-17 09:00:00,10.05,2022
-0.72,LONG,15253,2022-08-18 08:00:00,9.33,2022
1.14,LONG,15261,2022-08-18 16:00:00,10.47,2022
-0.76,LONG,15272,2022-08-19 13:00:00,9.71,2022
-0.76,LONG,15287,2022-08-22 14:00:00,8.950000000000001,2022
-0.76,LONG,15296,2022-08-23 09:00:00,8.190000000000001,2022
-0.19,SHORT,15332,2022-08-25 17:00:00,8.000000000000002,2022
1.09,SHORT,15344,2022-08-26 15:00:00,9.090000000000002,2022
-0.75,LONG,15351,2022-08-29 08:00:00,8.340000000000002,2022
-0.79,LONG,15382,2022-08-31 11:00:00,7.550000000000002,2022
1.2,LONG,15414,2022-09-02 15:00:00,8.750000000000002,2022
1.24,SHORT,15423,2022-09-05 10:00:00,9.990000000000002,2022
1.22,SHORT,15442,2022-09-06 15:00:00,11.210000000000003,2022
-0.95,LONG,15449,2022-09-07 08:00:00,10.260000000000003,2022
1.54,LONG,15459,2022-09-07 18:00:00,11.800000000000004,2022
1.76,SHORT,15469,2022-09-08 14:00:00,13.560000000000004,2022
0.55,LONG,15510,2022-09-13 13:00:00,14.110000000000005,2022
-0.93,LONG,15547,2022-09-16 08:00:00,13.180000000000005,2022
-0.78,LONG,15576,2022-09-20 09:00:00,12.400000000000006,2022
-0.71,LONG,15580,2022-09-20 13:00:00,11.690000000000005,2022
-0.72,LONG,15610,2022-09-22 15:00:00,10.970000000000004,2022
-0.91,LONG,15620,2022-09-23 11:00:00,10.060000000000004,2022
-0.94,LONG,15622,2022-09-23 13:00:00,9.120000000000005,2022
-1.01,LONG,15652,2022-09-27 15:00:00,8.110000000000005,2022
-1.09,LONG,15662,2022-09-28 11:00:00,7.020000000000005,2022
1.66,LONG,15665,2022-09-28 14:00:00,8.680000000000005,2022
-0.68,SHORT,15691,2022-09-30 12:00:00,8.000000000000005,2022
1.83,LONG,15706,2022-10-03 13:00:00,9.830000000000005,2022
-1.21,SHORT,15710,2022-10-03 17:00:00,8.620000000000005,2022
-1.24,SHORT,15716,2022-10-04 09:00:00,7.380000000000004,2022
-0.35,LONG,15732,2022-10-05 11:00:00,7.030000000000005,2022
-1.08,LONG,15757,2022-10-07 08:00:00,5.950000000000005,2022
-0.93,LONG,15779,2022-10-10 16:00:00,5.020000000000005,2022
-0.94,LONG,15803,2022-10-12 12:00:00,4.080000000000005,2022
1.39,LONG,15818,2022-10-13 13:00:00,5.470000000000005,2022
1.39,SHORT,15820,2022-10-13 15:00:00,6.860000000000005,2022
1.7,SHORT,15835,2022-10-14 16:00:00,8.560000000000004,2022
0.06,LONG,15877,2022-10-19 16:00:00,8.620000000000005,2022
-0.91,LONG,15900,2022-10-21 11:00:00,7.710000000000004,2022
-0.92,SHORT,15925,2022-10-25 08:00:00,6.7900000000000045,2022
-0.94,SHORT,15932,2022-10-25 15:00:00,5.850000000000005,2022
